Date,Scan ID,Release Version,Observation Day,HC Threshold Used,Universe,After RSI,After Delivery,After ATR,After Risk,After RR,After Volume,After Score,Final HC
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,55,573,439,298,291,207,103,19,0,0
2026-06-09,scan_manual_1780994993_a2c72f,R1.0,2,55,573,417,295,287,193,96,17,4,4
2026-06-11,scan_auto_1781149742_1b50e6,R1.0,4,55,573,376,275,265,135,64,22,4,0
2026-06-11,scan_auto_1781119968_378a72,R1.0,4,55,547,380,281,267,185,97,31,2,1
2026-06-12,scan_manual_1781204781_605845,R1.0,5,55,572,350,241,235,182,80,17,1,1
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,55,573,349,241,234,182,84,19,6,5
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,55,573,349,241,234,182,84,19,6,4
2026-06-12,scan_auto_1781246107_1ed9ec,R1.0,5,55,573,424,301,295,184,89,11,2,2
2026-06-12,scan_manual_1781251418_db0822,R1.0,5,55,573,349,241,234,182,84,19,6,4
2026-06-13,scan_auto_1781322911_ba2c24,R1.0,6,55,573,475,350,338,258,128,53,10,9
2026-06-18,scan_manual_1781767195_1d0e3c,R1.0,11,55,573,514,391,382,307,156,53,4,4
2026-06-19,scan_manual_1781856444_055982,R1.0,12,55,573,512,387,379,307,171,52,4,4
2026-06-19,scan_manual_1781856241_75915c,R1.0,12,55,573,512,387,379,307,171,52,4,4
2026-06-19,scan_manual_1781859850_bda2f9,R1.0,12,55,1,1,1,1,1,0,0,0,0
2026-06-19,scan_manual_1781859943_50de9e,R1.0,12,55,1,1,1,1,1,0,0,0,0
2026-06-19,scan_manual_1781860060_1a5277,R1.0,12,55,1,1,1,1,1,0,0,0,0
2026-06-19,scan_manual_1781861956_9c4bca,R1.0,12,55,573,512,387,379,307,171,52,6,6
2026-06-19,scan_manual_1781863271_8e3645,R1.0,12,55,573,512,387,379,307,171,52,9,9
2026-06-20,scan_manual_1781937297_82009a,R1.0,13,55,573,500,405,398,314,165,52,2,2
2026-06-20,scan_manual_1781938706_cc7a6b,R1.0,13,55,573,500,405,398,314,165,52,2,2
2026-06-20,scan_manual_1781954278_c8d16e,R1.0,13,55,573,500,405,398,314,165,52,2,2
2026-06-20,scan_manual_1781966264_a40d5b,R1.0,13,55,573,500,405,398,314,165,52,3,2
2026-06-20,scan_manual_1781967913_8fbd15,R1.0,13,55,573,500,405,398,314,165,52,3,2
2026-06-20,scan_manual_1781976982_158770,R1.0,13,55,573,500,405,398,314,165,52,2,2
2026-06-22,scan_manual_1782111162_ebaa00,R1.0,15,55,925,791,564,546,382,213,67,13,13
2026-06-22,scan_manual_1782112990_716a02,R1.0,15,55,925,790,563,546,382,213,67,15,15
2026-06-22,scan_manual_1782113878_c924d8,R1.0,15,55,926,800,568,556,353,186,37,5,5
