Date,Scan ID,Release Version,Observation Day,Scan Status,Stocks Attempted,Stocks Successfully Analyzed,Stocks Failed,HC Count,Golden Count,P50,P75,P90,P95,P99,Max Score,Top Symbol,Top Score
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,PARTIAL,574,573,1,0,0,38,42,46,48,52,57,PFIZER,57
2026-06-09,scan_manual_1780994993_a2c72f,R1.0,2,PARTIAL,574,573,1,4,0,48,53,56,58,63,66,CERA,58
2026-06-11,scan_auto_1781149742_1b50e6,R1.0,4,PARTIAL,574,573,1,0,0,47,51,55,57,61,63,HINDZINC,63
2026-06-11,scan_auto_1781119968_378a72,R1.0,4,PARTIAL,574,547,27,1,0,47,51,54,57,59,62,ICICIBANK,58
2026-06-12,scan_manual_1781204781_605845,R1.0,5,PARTIAL,574,572,2,1,0,42,46,50,52,57,61,NEULANDLAB,57
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,PARTIAL,574,573,1,5,0,49,54,60,62,66,72,NEULANDLAB,65
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,PARTIAL,574,573,1,4,0,49,54,60,62,66,72,KARURVYSYA,64
2026-06-12,scan_auto_1781246107_1ed9ec,R1.0,5,PARTIAL,574,573,1,2,0,48,52,58,60,64,68,CUB,59
2026-06-12,scan_manual_1781251418_db0822,R1.0,5,PARTIAL,574,573,1,4,0,49,54,60,62,66,72,NEULANDLAB,65
2026-06-13,scan_auto_1781322911_ba2c24,R1.0,6,PARTIAL,575,573,2,9,0,48,53,57,60,62,66,BORORENEW,66
2026-06-18,scan_manual_1781767195_1d0e3c,R1.0,11,PARTIAL,574,573,1,4,0,44,49,53,55,60,66,KAJARIACER,61
2026-06-19,scan_manual_1781856444_055982,R1.0,12,PARTIAL,575,573,2,4,0,44,48,51,53,58,65,GLAND,65
2026-06-19,scan_manual_1781856241_75915c,R1.0,12,PARTIAL,575,573,2,4,0,44,48,51,53,58,65,GLAND,65
2026-06-19,scan_manual_1781859850_bda2f9,R1.0,12,SUCCESS,1,1,0,0,0,42,42,42,42,42,42,RELIANCE,42
2026-06-19,scan_manual_1781859943_50de9e,R1.0,12,SUCCESS,1,1,0,0,0,42,42,42,42,42,42,RELIANCE,42
2026-06-19,scan_manual_1781860060_1a5277,R1.0,12,SUCCESS,1,1,0,0,0,42,42,42,42,42,42,RELIANCE,42
2026-06-19,scan_manual_1781861956_9c4bca,R1.0,12,PARTIAL,575,573,2,6,0,44,48,52,55,58,68,GLAND,66
2026-06-19,scan_manual_1781863271_8e3645,R1.0,12,PARTIAL,575,573,2,9,0,44,49,53,55,58,69,GLAND,67
2026-06-20,scan_manual_1781937297_82009a,R1.0,13,PARTIAL,575,573,2,2,0,46,50,54,56,60,66,RUPA,59
2026-06-20,scan_manual_1781938706_cc7a6b,R1.0,13,PARTIAL,575,573,2,2,0,46,50,53,56,60,66,RUPA,59
2026-06-20,scan_manual_1781954278_c8d16e,R1.0,13,PARTIAL,575,573,2,2,0,46,50,53,56,60,66,GATEWAY,59
2026-06-20,scan_manual_1781966264_a40d5b,R1.0,13,PARTIAL,575,573,2,2,0,46,50,53,56,60,66,GATEWAY,59
2026-06-20,scan_manual_1781967913_8fbd15,R1.0,13,PARTIAL,575,573,2,2,0,46,50,53,56,60,66,GATEWAY,59
2026-06-20,scan_manual_1781976982_158770,R1.0,13,PARTIAL,575,573,2,2,0,46,50,53,56,60,64,GATEWAY,59
2026-06-22,scan_manual_1782111162_ebaa00,R1.0,15,PARTIAL,929,925,4,13,0,49,53,57,59,64,69,BLACKBUCK,65
2026-06-22,scan_manual_1782112990_716a02,R1.0,15,PARTIAL,929,925,4,15,0,50,54,57,60,64,69,BLACKBUCK,64
2026-06-22,scan_manual_1782113878_c924d8,R1.0,15,PARTIAL,929,926,3,5,0,48,52,56,57,63,70,IPL,59
